,_id,category,commodity_transaction,country_or_area,quantity,quantity_footnotes,unit,year
94,5d5844fb9d1a687cde4888ea,nuclear_electricity,Electricity - total nuclear production,Brazil,2237.0,,"Kilowatt-hours, million",1990
95,5d5844fb9d1a687cde4888eb,nuclear_electricity,Electricity - total nuclear production,Bulgaria,14171.0,,"Kilowatt-hours, million",2013
96,5d5844fb9d1a687cde4888ec,nuclear_electricity,Electricity - total nuclear production,Bulgaria,15867.0,,"Kilowatt-hours, million",2014
97,5d5844fb9d1a687cde4888ed,nuclear_electricity,Electricity - total nuclear production,Bulgaria,15785.0,,"Kilowatt-hours, million",2012
98,5d5844fb9d1a687cde4888ee,nuclear_electricity,Electricity - total nuclear production,Bulgaria,16314.0,,"Kilowatt-hours, million",2011
99,5d5844fb9d1a687cde4888ef,nuclear_electricity,Electricity - total nuclear production,Bulgaria,15256.0,,"Kilowatt-hours, million",2009
100,5d5844fb9d1a687cde4888f0,nuclear_electricity,Electricity - total nuclear production,Bulgaria,15765.0,,"Kilowatt-hours, million",2008
101,5d5844fb9d1a687cde4888f1,nuclear_electricity,Electricity - total nuclear production,Bulgaria,14643.0,,"Kilowatt-hours, million",2007
102,5d5844fb9d1a687cde4888f2,nuclear_electricity,Electricity - total nuclear production,Bulgaria,19493.0,,"Kilowatt-hours, million",2006
103,5d5844fb9d1a687cde4888f3,nuclear_electricity,Electricity - total nuclear production,Bulgaria,15249.0,,"Kilowatt-hours, million",2010
104,5d5844fb9d1a687cde4888f4,nuclear_electricity,Electricity - total nuclear production,Bulgaria,18653.0,,"Kilowatt-hours, million",2005
105,5d5844fb9d1a687cde4888f5,nuclear_electricity,Electricity - total nuclear production,Bulgaria,16815.0,,"Kilowatt-hours, million",2004
106,5d5844fb9d1a687cde4888f6,nuclear_electricity,Electricity - total nuclear production,Bulgaria,17280.0,,"Kilowatt-hours, million",2003
107,5d5844fb9d1a687cde4888f7,nuclear_electricity,Electricity - total nuclear production,Bulgaria,20222.0,,"Kilowatt-hours, million",2002
108,5d5844fb9d1a687cde4888f8,nuclear_electricity,Electricity - total nuclear production,Bulgaria,19553.0,,"Kilowatt-hours, million",2001
109,5d5844fb9d1a687cde4888f9,nuclear_electricity,Electricity - total nuclear production,Bulgaria,18178.0,,"Kilowatt-hours, million",2000
110,5d5844fb9d1a687cde4888fa,nuclear_electricity,Electricity - total nuclear production,Bulgaria,15814.0,,"Kilowatt-hours, million",1999
111,5d5844fb9d1a687cde4888fb,nuclear_electricity,Electricity - total nuclear production,Bulgaria,16899.0,,"Kilowatt-hours, million",1998
